公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京佳格天地科技有限公司,佳格天地,50-150人,A轮,海淀区,算法工程师,不限,本科,10k-20k,跟 NASA 数据科学家一起玩转空间大数据应用
北京五八到家信息技术有限公司,58到家,2000人以上,A轮,朝阳区,算法工程师,3-5年,本科,14k-28k,"独角兽,晋升机会多,季度年终奖,双休"
深圳市华云中盛科技有限公司,华云中盛,150-500人,不需要融资,石景山区,算法工程师,1-3年,本科,13K-25K,薪酬福利；技术提升；发展空间
上海小鸿网络科技有限公司,小鸿科技,50-150人,B轮,海淀区,算法工程师,3-5年,本科,10k-20k,"前景优势,资源优势,扁平管理,优质福利"
秒针信息技术有限公司,秒针系统,500-2000人,D轮及以上,朝阳区,算法工程师,1年以下,硕士,10k-20k,"大牛多,学习型组织"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师,3-5年,本科,8k-15k,"班车,餐补"
北京和气聚力教育科技有限公司,好专业升学规划研究院,50-150人,A轮,朝阳区,算法工程师,不限,本科,13k-18k,"五险一金,定期体检,节日福利,晋升空间"
北京好价网络科技有限公司,好价,50-150人,不需要融资,朝阳区,算法工程师,3-5年,本科,10k-20k,"扁平管理,股票期权,产品造血,岗位晋升"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,朝阳区,算法工程师-北京,1-3年,本科,13k-25k,"技术新,平台广,氛围佳"
百融金融信息服务股份有限公司,百融金服,500-2000人,C轮,海淀区,算法工程师,1-3年,本科,13k-25k,"快速成长,挑战性,牛人多,技术核心"
北京慢点生活科技有限公司,动动,50-150人,B轮,朝阳区,应届生/实习生职位-算法工程师,应届毕业生,硕士,10k-20k,"千万用户,全球市场"
北京青年众人网络安全技术有限公司,众人公司,50-150人,上市公司,海淀区,算法工程师,1-3年,本科,10k-20k,五险一金
北京多牛互动传媒股份有限公司,多牛传媒,150-500人,上市公司,海淀区,算法工程师,1-3年,硕士,10k-20k,"五险一金,周末双休"
北京四维图新科技股份有限公司,四维图新,2000人以上,上市公司,海淀区,算法工程师,1-3年,本科,10k-20k,核心部门核心岗位；技术氛围浓厚
北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,东城区,算法工程师,1-3年,本科,7k-14k,"发展空间大,团队氛围好"
北京优加利信息科技有限公司,优加利企业,150-500人,B轮,昌平区,算法工程师,1-3年,硕士,10k-20k,"发展空间大,福利好,有班车,上市公司"
